Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C8, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,13,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,18,WS2812B,
