Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C4, C7, C8, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,11,100nF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14,WS2812B,
J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,Conn_01x03_Male,
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Male,
