Designator,Mid X,Mid Y,Rotation,Layer
C1,30.48,-33.02,-90.0,top
C2,60.96,-33.02,-90.0,top
C3,77.47,-33.02,-90.0,top
C4,92.528342,-33.02,-90.0,top
C5,109.22,-33.02,-90.0,top
C6,124.46,-33.02,-90.0,top
C7,153.67,-33.02,-90.0,top
D1,20.32,-33.02,180.0,top
D10,162.56,-33.0,180.0,top
D2,37.535556,-33.02,180.0,top
D3,53.34,-33.02,180.0,top
D4,69.144444,-33.02,180.0,top
D5,84.948888,-33.02,180.0,top
D6,100.753332,-33.02,180.0,top
D7,116.557776,-33.02,180.0,top
D8,132.36222,-33.02,180.0,top
D9,148.166664,-33.02,180.0,top
